group_family,split
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket,test
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets,train
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf,train
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE129_large,train
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket,val
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE129_rand,train
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE131_loop,val
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE131_memcpy,train
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE131_memmove,test
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE135,train
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy,train
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_loop,test
juliet_CWE121_CWE121_Stack_Based_Buffer_Overflow__char_type_overrun_memcpy,train
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy,train
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memmove,test
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_connect_socket,train
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_fgets,val
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_fscanf,train
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_large,train
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_listen_socket,train
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_rand,test
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE193_char_cpy,val
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE193_char_loop,train
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE193_char_memcpy,train
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE193_char_memmove,train
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE193_char_ncpy,test
juliet_CWE122_CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_char_loop,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_connect_socket_printf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf,val
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_console_fprintf,test
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_console_printf,test
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_console_snprintf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_console_vfprintf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_environment_fprintf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_environment_printf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_environment_snprintf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_environment_vfprintf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_file_fprintf,val
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_file_printf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_file_snprintf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_file_vfprintf,val
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf,train
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_listen_socket_printf,val
juliet_CWE134_CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf,test
juliet_CWE190_CWE190_Integer_Overflow__char_fscanf_add,train
juliet_CWE190_CWE190_Integer_Overflow__char_fscanf_multiply,train
juliet_CWE190_CWE190_Integer_Overflow__char_fscanf_square,train
juliet_CWE190_CWE190_Integer_Overflow__char_max_add,train
juliet_CWE190_CWE190_Integer_Overflow__char_max_multiply,test
juliet_CWE190_CWE190_Integer_Overflow__char_max_square,train
juliet_CWE190_CWE190_Integer_Overflow__char_rand_add,test
juliet_CWE190_CWE190_Integer_Overflow__char_rand_multiply,train
juliet_CWE190_CWE190_Integer_Overflow__char_rand_square,train
juliet_CWE190_CWE190_Integer_Overflow__int64_t_fscanf_add,train
juliet_CWE190_CWE190_Integer_Overflow__int64_t_fscanf_multiply,train
juliet_CWE190_CWE190_Integer_Overflow__int64_t_fscanf_square,train
juliet_CWE190_CWE190_Integer_Overflow__int64_t_max_add,test
juliet_CWE190_CWE190_Integer_Overflow__int64_t_max_multiply,val
juliet_CWE190_CWE190_Integer_Overflow__int64_t_max_square,test
juliet_CWE190_CWE190_Integer_Overflow__int64_t_rand_add,test
juliet_CWE190_CWE190_Integer_Overflow__int64_t_rand_multiply,val
juliet_CWE190_CWE190_Integer_Overflow__int64_t_rand_square,train
juliet_CWE190_CWE190_Integer_Overflow__int_connect_socket_add,train
juliet_CWE190_CWE190_Integer_Overflow__int_connect_socket_multiply,val
juliet_CWE190_CWE190_Integer_Overflow__int_connect_socket_square,train
